Sno,variables_Batch,variables,Type,Module
311,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_P10,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_P10,Numerical,LOCATION
312,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_120TO150D,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_120TO150D,Numerical,Transaction
313,MIN_DPD_150_180_D,MIN_DPD_150_180_D,Numerical,PERFORMANCE
314,NUM_PAYOUTCREATED_121_TO_150_D,NUM_PAYOUTCREATED_121_TO_150_D,Numerical,ACTIVITY
315,TOTAL_CURRENT_BALANCE,CURRENT_BALANCE_SUM,Numerical,BUREAU
316,NUM_MAINBILLSCLICK_121_TO_150_D,NUM_MAINBILLSCLICK_121_TO_150_D,Numerical,ACTIVITY
317,AVG_OVERDUE_AMOUNT_120TO150D,AVG_OVERDUE_AMOUNT_120TO150D,Numerical,SMS
318,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_P95,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_P95,Numerical,LOCATION
319,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_AVG,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_ACTIVE_AVG,Numerical,LOCATION
320,NUM_SMS_30D_SMS_BANKING,NUM_SMS_30D,Numerical,SMS
321,MAX_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED,MAX_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED,Numerical,BUREAU
322,TOTAL_DUE_AMOUNT_LAST_30D,TOTAL_DUE_AMOUNT_LAST_30D,Numerical,SMS
323,TOTAL_DEBIT_COUNT_ATM_30TO60D_SMS_BANKING,TOTAL_DEBIT_COUNT_ATM_30TO60D,Numerical,SMS
324,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_121_TO_150_D,NUM_NOCOUNTERPARTYPAYMENTCOMPLETED_121_TO_150_D,Numerical,ACTIVITY
325,AVG_CURRENT_BALANCE_UNSECURED_AND_ACTIVE,AVG_CURRENT_BALANCE_UNSECURED_AND_ACTIVE,Numerical,BUREAU
326,NUM_PAYMENTREMINDERSHAREONSMS_31_TO_60_D,NUM_PAYMENTREMINDERSHAREONSMS_31_TO_60_D,Numerical,ACTIVITY
327,MAX_AVAILABLE_BALANCE_60TO90D_SMS_BANKING,MAX_AVAILABLE_BALANCE_60TO90D,Numerical,SMS
328,RATIO_AVG_DEBIT_TXNS_AVG_CREDIT_TXNS_LAST30D_SMS_BANKING,RATIO_AVG_DEBIT_TXNS_AVG_CREDIT_TXNS_LAST30D,Numerical,SMS
329,DISTINCT_BANKS_WITH_LOAN_APPLIED_60TO90D,DISTINCT_BANKS_WITH_LOAN_APPLIED_60TO90D,Numerical,SMS
330,COUNT_3_DPD_30_45_D,COUNT_3_DPD_30_45_D,Numerical,PERFORMANCE
331,NUM_DEBIT_TXNS_LESSTHAN_100_90TO120D_SMS_BANKING,NUM_DEBIT_TXNS_LESSTHAN_100_90TO120D,Numerical,SMS
332,TENURE_MONTHS,TENURE_MONTHS,Numerical,PERFORMANCE
333,MAX_DAYS_PAST_DUE_SECURED_420_TO_450_DAYS,MAX_DAYS_PAST_DUE_SECURED_420_TO_450_DAYS,Numerical,BUREAU
334,MIN_CURRENT_BALANCE_UNSECURED_AND_ACTIVE,MIN_CURRENT_BALANCE_UNSECURED_AND_ACTIVE,Numerical,BUREAU
335,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_300TO330D,RATIO_CREDIT_RECOVERED_61TO90_LAST30D_CREDIT_RECOVERED_61TO90_300TO330D,Numerical,Transaction
336,NUM_LOAN_APPLICATION_SMS_30TO60D,NUM_LOAN_APPLIED_30TO60D,Numerical,SMS
337,BUREAUSCORE_P50,BUREAUSCORE_P50,Numerical,LOCATION
338,AVG_REPAYMENT_TENURE_UNSECURED_AND_CLOSED_P25,AVG_REPAYMENT_TENURE_UNSECURED_AND_CLOSED_P25,Numerical,LOCATION
339,TOTAL_CURRENT_BALANCE_SECURED,TOTAL_CURRENT_BALANCE_SECURED,Numerical,BUREAU
340,NUM_SMS_60D_SMS_BANKING,NUM_SMS_60D,Numerical,SMS
341,NUM_CUSTOMERKHATAONGOTCLICKED_91_TO_120_D,NUM_CUSTOMERKHATAONGOTCLICKED_91_TO_120_D,Numerical,ACTIVITY
342,SECURED_ACCOUNT_OPENED_IN_LAST_360_DAYS_WITH_AMOUNT_LT_100000_P90,SECURED_ACCOUNT_OPENED_IN_LAST_360_DAYS_WITH_AMOUNT_LT_100000_P90,Numerical,LOCATION
343,MAX_DAYS_PAST_DUE_CLOSED_330_TO_360_DAYS,MAX_DAYS_PAST_DUE_CLOSED_330_TO_360_DAYS,Numerical,BUREAU
344,RATIO_AVG_AVAILABLE_BALANCE_LAST30D_VS_30TO60D_SMS_BANKING,RATIO_AVG_AVAILABLE_BALANCE_LAST30D_VS_30TO60D,Numerical,SMS
345,RATIO_OF_MAX_OVERDUE_AMOUNT_LAST_30D_TO_150TO180D,RATIO_MAX_OVERDUE_AMOUNT_LAST_30D_TO_150TO180D,Numerical,SMS
346,NUM_DEBIT_TXNS_LAST30D_CC_SMS_BANKING,NUM_CREDIT_CARD_DEBIT_TXNS_LAST30D,Numerical,SMS
347,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED,TOTAL_HIGHEST_CREDIT_OR_ORIGINAL_LOAN_AMOUNT_UNSECURED_AND_CLOSED,Numerical,BUREAU
348,COUNT_6_DPD_120_150_D,COUNT_6_DPD_120_150_D,Numerical,PERFORMANCE
349,MAX_DAYS_PAST_DUE_CLOSED_450_TO_480_DAYS,MAX_DAYS_PAST_DUE_CLOSED_450_TO_480_DAYS,Numerical,BUREAU
350,RATIO_CREDIT_PAIDBACK_LAST30D_CREDIT_PAIDBACK_LIFETIME,RATIO_CREDIT_PAIDBACK_LAST30D_CREDIT_PAIDBACK_LIFETIME,Numerical,Transaction
